ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI
201718,ANRH008014,0420220643,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,MSRI01102E,0450078092,SI,SI,NO,SI,NO,SI,SI,NO,NO,-
201718,BIEE816026,0960200008,SI,SI,SI,NO,SI,SI,SI,SI,SI,-
201718,MSEE01412R,0450131001,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,RMEE8DC01X,0580292001,NO,-,-,-,-,-,-,-,-,-
201718,MIIC82500Q,0150770001,NO,-,-,-,-,-,-,-,-,-
201718,LIAA81403P,0490091040,SI,SI,NO,NO,NO,SI,NO,NO,NO,-
201718,ALAA82501Q,0060030032,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,CTAA88803Q,0870291282,SI,SI,NO,NO,NO,NO,SI,SI,SI,-
201718,LTAA81503D,0590110651,SI,SI,NO,NO,NO,SI,NO,NO,NO,-
201718,NATD076512,0630320038,NO,-,-,-,-,-,-,-,-,-
201718,BNAA84405R,0620080212,NO,-,-,-,-,-,-,-,-,-
201718,BAAA838035,0720311613,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,FOAA80801D,0400050354,NO,-,-,-,-,-,-,-,-,-
201718,CSMM83101V,0780440827,SI,SI,SI,NO,NO,NO,NO,NO,NO,-
201718,PAMM063002,0820064984,NO,-,-,-,-,-,-,-,-,-
201718,RAAA830029,0390070021,SI,SI,SI,SI,NO,SI,SI,NO,NO,-
201718,CZEE84401T,0791600445,SI,SI,NO,NO,NO,SI,SI,NO,NO,-
201718,AQEE00601C,0660491515,NO,-,-,-,-,-,-,-,-,-
201718,ENMM81801V,0860182945,SI,NO,NO,NO,NO,SI,SI,SI,SI,-
201718,BGEE860101,0161970702,SI,SI,SI,NO,NO,SI,NO,NO,NO,-
201718,MIIC8DS00D,0151460378,SI,NO,NO,SI,SI,SI,NO,NO,NO,palestra non accessibile  bagno H solo piano terra  servoscala non agibile
201718,ARIC81000G,0510160001,SI,SI,NO,NO,NO,SI,SI,NO,SI,-
201718,TOTD29050B,0012720266,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,AGAA85302A,0840261158,NO,-,-,-,-,-,-,-,-,-
201718,TOAA83403D,0011930003,SI,SI,SI,NO,NO,SI,SI,NO,SI,-
201718,NUMM86701L,0910121835,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,GREE81901C,0530210164,SI,SI,SI,NO,SI,SI,NO,NO,NO,-
201718,CBAA82510V,0700080137,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,GEIC82600T,0100250114,NO,-,-,-,-,-,-,-,-,-
201718,CNEE83602R,0040950002,SI,SI,SI,NO,SI,SI,SI,SI,SI,-
201718,MIEE8CF029,0151460360,SI,NO,NO,SI,NO,NO,NO,NO,NO,-
201718,MIIC8DE001,0151460405,SI,NO,NO,NO,NO,SI,NO,NO,NO,BA
201718,BSEE83202X,0170960665,NO,-,-,-,-,-,-,-,-,-
201718,CTIC8AE003,0870151399,NO,-,-,-,-,-,-,-,-,-
201718,VVAA832011,1020470421,SI,SI,SI,NO,NO,NO,SI,NO,NO,-
201718,BSMM81101R,0171120921,SI,SI,SI,NO,NO,SI,SI,SI,SI,LABORATORI ED INTERRATO RAGGIUNTI SOLO CON SCALE
201718,SARF06802G,0651350507,NO,-,-,-,-,-,-,-,-,-
201718,BLMM830018,0250061873,SI,NO,SI,SI,NO,SI,SI,NO,NO,-
201718,BSAA84101C,0171330001,NO,-,-,-,-,-,-,-,-,-
201718,VRPS01601G,0230763887,SI,NO,NO,SI,NO,NO,NO,NO,NO,-
201718,VBEE81002N,1030080007,NO,-,-,-,-,-,-,-,-,-
201718,BGPS04000R,0160530523,SI,NO,SI,SI,NO,SI,SI,SI,NO,-
201718,CESL02201B,0610220115,NO,-,-,-,-,-,-,-,-,-
201718,BSMM8AK02N,0171710321,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,CSAA831082,0780440179,SI,SI,NO,NO,NO,NO,SI,NO,NO,-
201718,COMM838013,0130410449,SI,NO,SI,SI,NO,SI,NO,SI,SI,-
201718,BAIS048001,1100021410,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,MOEE817058,0360050147,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,NAMM15100Q,0630010409,SI,SI,SI,NO,NO,NO,SI,SI,SI,-
201718,PAMM8AZ01X,0820534544,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,GEAA853013,0100250118,SI,SI,NO,NO,NO,SI,NO,NO,NO,-
201718,CTEE808045,0870200709,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
201718,TVEE868036,0260553070,SI,NO,NO,NO,NO,SI,NO,NO,NO,-
201718,AGMM85201N,0840123323,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
201718,CEEE86501X,0610161640,NO,-,-,-,-,-,-,-,-,-
201718,MEAA83801B,0830143712,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,PSSD040507,0410670343,NO,-,-,-,-,-,-,-,-,-
201718,PVAA82605A,0181490070,NO,-,-,-,-,-,-,-,-,-
201718,CEMM8A4034,0610111180,NO,-,-,-,-,-,-,-,-,-
201718,PDPS11000P,0280864211,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,FIAA854034,0480170042,SI,SI,NO,SI,NO,SI,SI,NO,NO,-
201718,SAEE83903T,0650141210,NO,-,-,-,-,-,-,-,-,-
201718,PGEE84901T,0540530369,SI,NO,NO,NO,NO,NO,SI,NO,NO,-
201718,ALAA83801T,0061540002,SI,SI,SI,NO,SI,SI,SI,NO,NO,-
201718,MTEE82702D,0770140090,SI,SI,NO,NO,NO,NO,SI,NO,NO,-
201718,NOAA01503N,0030240008,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,BSEE8AC01D,0171701043,SI,SI,NO,SI,NO,NO,NO,NO,NO,-
201718,LOAA813056,0980250942,NO,-,-,-,-,-,-,-,-,-
201718,BLAA82002E,0250223427,SI,NO,NO,NO,NO,NO,SI,NO,NO,-
201718,RMAA8CA03E,0580970835,SI,NO,SI,NO,SI,NO,SI,NO,NO,-
201718,MOPS02000B,0360230269,SI,NO,NO,NO,NO,SI,SI,NO,NO,-
201718,FGEE87501G,1100100386,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,CAAA84809V,1110270390,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,PZMM835017,0760030375,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,BNEE83301B,0620200002,SI,NO,NO,NO,NO,NO,SI,NO,NO,-
201718,SSTD016044,0900710738,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,ARAA813032,0510020038,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,CRIS00800D,0190363171,SI,NO,SI,NO,NO,SI,SI,SI,NO,-
201718,SRAA80507Q,0890174939,SI,NO,NO,NO,NO,NO,SI,SI,SI,-
201718,FGAA87302Q,0710200912,NO,-,-,-,-,-,-,-,-,-
201718,CARF01050C,0920090596,SI,SI,SI,SI,NO,SI,NO,NO,NO,-
201718,NAIC82200T,0630491786,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,MIEE8GC017,1080270332,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,ORMM82305E,0950620172,SI,SI,SI,NO,SI,SI,SI,SI,SI,-
201718,TRMM82103P,0550220201,NO,-,-,-,-,-,-,-,-,-
201718,RCMM83701C,0800601703,NO,-,-,-,-,-,-,-,-,-
201718,CAAA879027,0921090909,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,CZTL01751N,0790231043,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,RCAA84803R,0800350393,SI,SI,NO,NO,NO,NO,SI,NO,NO,-
201718,PSRI001013,0410590538,SI,NO,NO,NO,SI,SI,NO,NO,NO,-
201718,CTMM80903V,0870430763,SI,SI,SI,SI,NO,SI,SI,SI,NO,-
201718,SSAA85002X,0900640386,SI,SI,SI,SI,NO,SI,SI,SI,NO,-
201718,CHIC81900R,0690080339,SI,SI,NO,SI,NO,NO,SI,NO,NO,-
201718,BGEE86807B,0161870338,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
